 01e49e   3668 TEXT     'imu_MadgwickQuaternionUpdate()'
 0173c6     24 TEXT     'gui_update_cb(unsigned char)'
 02ac36     24 TEXT     'seq_active()'
 02523a     24 TEXT     'f_closedir(DIR*)'
 006a2c     24 TEXT     'SleepLock::Lock()'
 028134     24 TEXT     'MS5611::ReadTemperature()'
 02811c     24 TEXT     'MS5611::ReadPressure()'
 027996     24 TEXT     'L3gd20::Start()'
 0043c8     24 TEXT     'Timer::Stop()'
 004392     24 TEXT     'Timer::Init(TC1_struct*, PORT_struct*, xlib_core_timer_prescaler_e)'
 00437a     24 TEXT     'Timer::Init(TC0_struct*, PORT_struct*, xlib_core_timer_prescaler_e)'
 0042dc     24 TEXT     'Spi::SendRaw(unsigned char)'
 02c75e     24 TEXT     'lcd_display::DrawImage(unsigned char const*, unsigned char, unsigned char)'
 004f52     24 TEXT     'RingBuffer::RingBuffer(unsigned int, unsigned char*)'
 004f52     24 TEXT     'RingBuffer::RingBuffer(unsigned int, unsigned char*)'
 02f4a0     24 TEXT     '__udivmodqi4'
 005eea     24 TEXT     'Endpoint_IsINReady'
 02f7b8     24 TEXT     '__cmpdi2_s8'
 02f78e     24 TEXT     '__adddi3_s8'
 022e20     22 TEXT     'wind_step()'
 02784a     22 TEXT     'gps_step()'
 028b7c     22 TEXT     'bt_send(char*)'
 022736     22 TEXT     'waypoint_task_optimise_reset()'
 00afaa     22 TEXT     'layout_get_number_of_widgets(unsigned char)'
 0229ae     22 TEXT     'waypoint_task_active()'
 012f1e     22 TEXT     'gui_reset_timeout()'
 013d1a     22 TEXT     'gui_airspace_hide()'
 02b502     22 TEXT     'audio_vario_reset()'
 00b038     22 TEXT     'widget_get_type(unsigned char, unsigned char)'
 02d9e2     22 TEXT     'bat_en_high(unsigned char)'
 006a44     22 TEXT     'SleepLock::Unlock()'
 00429a     22 TEXT     'Spi::SetDataOrder(unsigned char)'
 001e1a     22 TEXT     'img_menu'
 02fa38     22 TEXT     'strnlen_P'
 02fae0     22 TEXT     'strnlen'
 02faaa     22 TEXT     'strchr'
 02fa94     22 TEXT     'strcat'
 02e1dc     22 TEXT     'main'
 02fed6     22 TEXT     'eeprom_read_block'
 00089c     21 TEXT     'layout_122'
 0008cf     21 TEXT     'layout_113'
 02d982     20 TEXT     'uart_stop()'
 02b8ba     20 TEXT     'battery_abort_calibration()'
 00dc66     20 TEXT     'gui_task_editor_refresh()'
 012e38     20 TEXT     'gui_set_widgets_irqh(unsigned char, unsigned char*)'
 026836     20 TEXT     'storage_dir_open(char*)'
 006c40     20 TEXT     'task_timer_stop()'
 006810     20 TEXT     'task_usb_irqh(unsigned char, unsigned char*)'
 02bf4e     20 TEXT     'buttons_read(unsigned char)'
 02bf62     20 TEXT     'button_hold(unsigned char)'
 00407c     20 TEXT     'I2c::Wait()'
 022e74     20 TEXT     'mem_set(void*, int, unsigned int)'
 002d27     20 TEXT     'TCU_HCI_M2_GENERAL_READ_EEPROM_REQ'
 026a34     20 TEXT     '__vector_67'
 02bc88     20 TEXT     '__vector_66'
 006b0e     20 TEXT     '__vector_34'
 02ab1c     20 TEXT     '__vector_108'
 02f5e4     20 TEXT     '__muluhisi3'
 020ee2     20 TEXT     '_GLOBAL__sub_I_kalmanFilter'
 004f18     20 TEXT     'EnableInterrupts'
 004f2c     20 TEXT     'CalcCRC'
 00dc54     18 TEXT     'gui_task_editor_delete_cb(unsigned char)'
 004c52     18 TEXT     'UsartTxInteruptHandler(unsigned char)'
 004c40     18 TEXT     'UsartRxInteruptHandler(unsigned char)'
 00694e     18 TEXT     'task_powerdown_stop()'
 01738a     18 TEXT     'gui_update_done_cb(unsigned char)'
 006b80     18 TEXT     'task_get_ms_tick()'
 0130aa     18 TEXT     'gui_hidemessage()'
 02bf76     18 TEXT     'button_in_reset(unsigned char)'
 02d740     18 TEXT     'time_set_local(unsigned long)'
 02d792     18 TEXT     'time_get_local()'
 0138da     18 TEXT     'gui_force_loop()'
 026824     18 TEXT     'storage_ready()'
 0041f6     18 TEXT     'RtcSetPeriod(unsigned int)'
 02bfd8     18 TEXT     'lcd_display::GotoXY_16(int, int)'
 802010     18     DATA 'SenseData'
 000bcb     18 TEXT     'w_waypoint_distance_label'
 000c4c     18 TEXT     'w_thermal_ass_label'
 02f7a6     18 TEXT     '__subdi3'
 02fa26     18 TEXT     '__strlen_P'
 02fac0     18 TEXT     'strcmp'
 004f40     18 TEXT     'SP_ReadCalibrationByte'
 02fa06     18 TEXT     'memcpy_P'
 02fa82     18 TEXT     'memcpy'
 0006e4     18 TEXT     'ManufacturerString'
 02ff0a     18 TEXT     'eeprom_update_byte'
 00071a     18 TEXT     'DeviceDescriptor'
 02f77c     18 TEXT     '__adddi3'
 0007ba     17 TEXT     'layout_31'
 000822     17 TEXT     'layout_22'
 0008b1     17 TEXT     'layout_121'
 00ed64     16 TEXT     'gui_set_airspaces_class_init()'
 012b92     16 TEXT     'gui_set_vario_advanced_init()'
 010090     16 TEXT     'gui_set_autoset_config_init()'
 02d7f4     16 TEXT     'xlib_stdout_uart_out_call(char, __file*)'
 012f06     16 TEXT     'xlib_stdout_lcd_out_call(char, __file*)'
 026a24     16 TEXT     'xlib_stdout_gps_out_call(char, __file*)'
 011826     16 TEXT     'gui_set_menu_audio_stop()'
 011816     16 TEXT     'gui_set_menu_audio_init()'
 00f9f0     16 TEXT     'gui_set_altimeters_init()'
 00e064     16 TEXT     'gui_task_settings_init()'
 010604     16 TEXT     'gui_set_bluetooth_init()'
 0104b8     16 TEXT     'gui_set_autostart_init()'
 00f3ba     16 TEXT     'gui_set_alt_alarm_init()'
 00ecb6     16 TEXT     'gui_set_airspaces_init()'
 00c78a     16 TEXT     'gui_compass_calib_init()'
 00e934     16 TEXT     'gui_set_advanced_init()'
 010afc     16 TEXT     'gui_set_display_init()'
 00fe2c     16 TEXT     'gui_set_autoset_init()'
 011bee     16 TEXT     'gui_set_system_init()'
 011760     16 TEXT     'gui_set_logger_init()'
 00544e     16 TEXT     'SDCardManager_Init()'
 01238c     16 TEXT     'gui_set_vario_init()'
 0106f2     16 TEXT     'gui_set_calib_init()'
 00fd68     16 TEXT     'gui_set_audio_init()'
 012ef2     16 TEXT     'gui_settings_init()'
 011fa6     16 TEXT     'gui_set_time_init()'
 00e6ee     16 TEXT     'gui_layouts_init()'
 003eba     16 TEXT     'GpioSetInterrupt(PORT_struct*, unsigned char, xlib_core_gpio_intmask_e, xlib_core_gpio_int_e)'
 02e11c     16 TEXT     'nmea_checksum(char*)'
 01190e     16 TEXT     'gui_home_init()'
 003e18     16 TEXT     'GpioSetPull(PORT_struct*, unsigned char, xlib_core_gpio_pull_e)'
 0042b0     16 TEXT     'Spi::SetSlave(PORT_struct*, unsigned char)'
 0042cc     16 TEXT     'Spi::SetDivider(xlib_core_spi_prescaler_e)'
 0050b6     16 TEXT     'RingBufferSmall::RingBufferSmall(unsigned char, unsigned char*)'
 0050b6     16 TEXT     'RingBufferSmall::RingBufferSmall(unsigned char, unsigned char*)'
 02bff8     16 TEXT     'lcd_display::noclip()'
 005030     16 TEXT     'RingBuffer::Clear()'
 002cbc     16 TEXT     'spp_over_ble_service_uuid'
 000a70     16 TEXT     'w_compass_heading_label'
 000d58     16 TEXT     'w_wind_points_label'
 000aaa     16 TEXT     'w_ctrl_wlift_label'
 001e0a     16 TEXT     'img_layout'
 02f59c     16 TEXT     '__tablejump2__'
 802373     16     DATA 'snd_pages'
 02f58c     16 TEXT     '__negsi2'
 02f696     16 TEXT     '__muldi3_6'
 8023f1     16     DATA 'flip_table'
 0057de     16 TEXT     'EVENT_USB_Device_ConfigurationChanged'
 003b30     16 TEXT     '__do_clear_bss'
 002d48     15 TEXT     'TCU_HCI_M2_BTL_SET_I2C_ENABLE_REQ'
 000bdd     15 TEXT     'w_waypoint_direction_label'
 000b0d     15 TEXT     'w_gps_hdg_points_label'
 000a53     15 TEXT     'w_compass_points_label'
 000d7e     15 TEXT     'w_wind_dir_label'
 02ab0e     14 TEXT     'audio_off()'
 028c40     14 TEXT     'bt_ready()'
 028994     14 TEXT     'bt_stop()'
 02a472     14 TEXT     'xlib_stdout_bt_pan1322_out_call(char, __file*)'
 00bbb8     14 TEXT     'gui_acc_snd_complete()'
 00bbaa     14 TEXT     'gui_acc_snd_confirm()'
 006a0a     14 TEXT     'task_update_stop()'
 004302     14 TEXT     'SystemPowerSave()'
 0042f4     14 TEXT     'SystemPowerIdle()'
 02d9ba     14 TEXT     'print_fw_info()'
 0193d2     14 TEXT     'logger_error()'
 003c4c     14 TEXT     'AdcPipeReady(ADC_CH_struct*)'
 027944     14 TEXT     'L3gd20::Init(I2c*, l3gd20_settings)'
 00481a     14 TEXT     'Usart::isRxBufferEmpty()'
 02bfea     14 TEXT     'lcd_display::clip(unsigned char, unsigned char)'
 000c00     14 TEXT     'w_odo_home_distance_label'
 000bbd     14 TEXT     'w_waypoint_time_label'
 000baf     14 TEXT     'w_waypoint_info_label'
 000cd9     14 TEXT     'w_vario_history_label'
 000b1c     14 TEXT     'w_gps_hdg_arrow_label'
 000a62     14 TEXT     'w_compass_arrow_label'
 000998     14 TEXT     'w_airspace_info_label'
 8023b2     14     DATA 'bt_pan1322_out_wrap'
 0008fc     14 TEXT     'w_acc_total_label'
 802388     14     DATA 'protocol_tx_wrap'
 8023d3     14     DATA 'uart_out_wrap'
 8023e3     14     DATA 'uart_in_wrap'
 802364     14     DATA 'lcd_out_wrap'
 8023a1     14     DATA 'gps_out_wrap'
 0061ee     14 TEXT     'USB_INT_DisableAllInterrupts'
 02fa18     14 TEXT     'strcpy_P'
 02fad2     14 TEXT     'strcpy'
 02f06c     14 TEXT     'inverse'
 02f056     14 TEXT     '__fp_zero'
 02ef42     14 TEXT     '__fp_pscB'
 02ef34     14 TEXT     '__fp_pscA'
 02f318     14 TEXT     '__fp_norm2'
 0260cc     14 TEXT     'disk_status'
 02f5ac     14 TEXT     '__bswapsi2'
 000840     13 TEXT     'layout_21'
 0008c2     13 TEXT     'layout_12'
 002d0d     13 TEXT     'TCU_MNG_STANDARD_HCI_SET_REQ_Write_Class_of_Device'
 002d3b     13 TEXT     'TCU_HCI_M2_BTL_EEPROM_WRITE_ENABLE_REQ'
 002d57     13 TEXT     'TCU_HCI_GET_FIRMWARE_VERSION_REQ'
 000937     13 TEXT     'w_agl_ground_level_label'
 000c6b     13 TEXT     'w_thermal_time_label'
 000c5e     13 TEXT     'w_thermal_gain_label'
 000af3     13 TEXT     'w_gps_position_label'
 000aba     13 TEXT     'w_ctrl_audio_label'
 000b00     13 TEXT     'w_gps_speed_label'
 000833     13 TEXT     'layout_21a'
 802022     13     DATA 'CommandStatus'
 018a1a     12 TEXT     'igc_stop()'
 02d7e8     12 TEXT     'xlib_stdin_uart_in_call(__file*)'
 00a75c     12 TEXT     'widget_sorted_get_index(unsigned char)'
 01c6a6     12 TEXT     'cfg_bat_write_defaults()'
 026852     12 TEXT     'storage_dir_rewind()'
 014f9c     12 TEXT     'gui_list_set_index(unsigned char, unsigned char)'
 0068c2     12 TEXT     'task_active_loop()'
 010eb2     12 TEXT     'gui_set_gps_stop()'
 02e136     12 TEXT     'ee_update_block(void*, void*, unsigned int)'
 003dcc     12 TEXT     'DacSetReference(xlib_core_dac_reference_e)'
 02885a     12 TEXT     'bt_pan1322_init()'
 02e142     12 TEXT     'ee_read_block(void*, void*, unsigned int)'
 02bf88     12 TEXT     'buttons_reset()'
 02dee0     12 TEXT     'hex_to_num(unsigned char)'
 004828     12 TEXT     'Usart::FlushTxBuffer()'
 0042c0     12 TEXT     'Spi::UnsetSlave()'
 003eca     12 TEXT     'I2c::I2c()'
 003eca     12 TEXT     'I2c::I2c()'
 01f65a     12 TEXT     'KalmanFilter::Reset(float)'
 02c202     12 TEXT     'lcd_display::SetInvert(unsigned char)'
 000c27     12 TEXT     'w_temperature_label'
 000ad3     12 TEXT     'w_glide_ratio_label'
 000cb5     12 TEXT     'w_flight_time_label'
 000ddd     12 TEXT     'snd_complete_length'
 000de9     12 TEXT     'snd_complete_tone'
 002a24     12 TEXT     'gps_ready_length'
 000b2a     12 TEXT     'w_gps_hdg_label'
 002a73     12 TEXT     'next_wpt_length'
 002a56     12 TEXT     'last_wpt_length'
 002a30     12 TEXT     'gps_ready_tone'
 002a7f     12 TEXT     'next_wpt_tone'
 002a62     12 TEXT     'last_wpt_tone'
 023060     12 TEXT     'sync_window(FATFS*)'
 0061fc     12 TEXT     'USB_INT_ClearAllInterrupts'
 02f218     12 TEXT     'sin'
 8023c5     12     DATA 'monthDays'
 02ee44     12 TEXT     '__fp_inf'
 000c0e     11 TEXT     'w_odo_home_direction_label'
 000d73     11 TEXT     'w_wind_dir_arrow_label'
 000d68     11 TEXT     'w_wind_speed_label'
 000944     11 TEXT     'w_agl_height_label'
 002caa     11 TEXT     'device_name_spp'
 002c9f     11 TEXT     'device_name_ble'
 000a01     11 TEXT     'w_alt5_label'
 000a0c     11 TEXT     'w_alt4_label'
 000a17     11 TEXT     'w_alt3_label'
 000a22     11 TEXT     'w_alt2_label'
 000a2d     11 TEXT     'w_alt1_label'
 004ee4     10 TEXT     'wdt_init(wdt_timeout)'
 016356     10 TEXT     'gui_pages_set_date_manual_cb(float)'
 014a82     10 TEXT     'gui_filemanager_set_tasks(unsigned char, unsigned char)'
 011bfe     10 TEXT     'gui_set_time_time_cb(float)'
 00cd2c     10 TEXT     'gui_gyro_calib_init()'
 02d24c     10 TEXT     'led_notify_disable()'
 02d242     10 TEXT     'led_notify_enable()'
 0077fe     10 TEXT     'widget_alt_draw5(unsigned char, unsigned char, unsigned char, unsigned char)'
 0077f4     10 TEXT     'widget_alt_draw4(unsigned char, unsigned char, unsigned char, unsigned char)'
 0077ea     10 TEXT     'widget_alt_draw3(unsigned char, unsigned char, unsigned char, unsigned char)'
 0077e0     10 TEXT     'widget_alt_draw2(unsigned char, unsigned char, unsigned char, unsigned char)'
 0077d6     10 TEXT     'widget_alt_draw1(unsigned char, unsigned char, unsigned char, unsigned char)'
 028866     10 TEXT     'bt_pan1026_init()'
 01fd0c     10 TEXT     'mag_calc_init()'
 0274ba     10 TEXT     'gps_parse_sys()'
 02ba24     10 TEXT     'battery_stop()'
 003c3a     10 TEXT     'AdcPipeStart(ADC_CH_struct*)'
 004208     10 TEXT     'RtcGetValue()'
 02a45e     10 TEXT     'pan1322::TxResume()'
 02a468     10 TEXT     'pan1322::StreamWrite(unsigned char)'
 028c86     10 TEXT     'pan1026::TxResume()'
 028c90     10 TEXT     'pan1026::StreamWrite(unsigned char)'
 003f6a     10 TEXT     'I2c::Write(unsigned char)'
 003f74     10 TEXT     'I2c::Read()'
 005126     10 TEXT     'RingBufferSmall::Clear()'
 02c20e     10 TEXT     'lcd_display::SetFlip(bool)'
 02c120     10 TEXT     'lcd_display::GetTextHeight()'
 02c12a     10 TEXT     'lcd_display::GetAHeight()'
 002ce8     10 TEXT     'TCU_MNG_SSP_SET_REQ_HCI_User_Confirmation_Request_Reply'
 002cf2     10 TEXT     'TCU_MNG_SSP_SET_REQ_HCI_IO_Capability_Request_Reply'
 000bf6     10 TEXT     'w_odo_home_time_label'
 000ce7     10 TEXT     'w_vario_bar_label'
 000bec     10 TEXT     'w_home_info_label'
 000cab     10 TEXT     'w_hike_mode_label'
 000cf1     10 TEXT     'w_avg_vario_label'
 02f5da     10 TEXT     '__usmulhisi3_tail'
 02e932     10 TEXT     '__subsf3'
 02ec40     10 TEXT     '__fixsfsi'
 0008e4      9 TEXT     'layout_11'
 000c19      9 TEXT     'w_odo_meter_label'
 018098      8 TEXT     'xlib_stdout_protocol_tx_call(char, __file*)'
 012f9a      8 TEXT     'gui_change_disp_cfg()'
 02684a      8 TEXT     'storage_dir_close()'
 014402      8 TEXT     'gui_alarm_irqh(unsigned char, unsigned char*)'
 01c8bc      8 TEXT     'fc_landing_cb(unsigned char)'
 003c44      8 TEXT     'AdcPipeValue(ADC_CH_struct*)'
 02e114      8 TEXT     'find_comma(char*)'
 028114      8 TEXT     'MS5611::StartTemperature()'
 02810c      8 TEXT     'MS5611::StartPressure()'
 02cc6e      8 TEXT     'lcd_display::GetActiveLayerPtr()'
 005028      8 TEXT     'RingBuffer::Length()'
 001bc4      8 TEXT     'img_alarm'
 002cfe      8 TEXT     'TCU_MNG_SET_SCAN_REQ'
 002ce0      8 TEXT     'TCU_MNG_LE_INIT_REQ'
 000dfa      8 TEXT     'snd_confirm_length'
 000e02      8 TEXT     'snd_confirm_tone'
 001bcc      8 TEXT     'img_logger_error'
 000a46      8 TEXT     'w_battery_label'
 001bdc      8 TEXT     'img_bluetooth'
 001bd4      8 TEXT     'img_logger'
 8021d7      8     DATA 'w_wind_speed'
 8021cf      8     DATA 'w_wind_points'
 8021df      8     DATA 'w_wind_dir_arrow'
 8021e7      8     DATA 'w_wind_dir'
 80212f      8     DATA 'w_waypoint_time'
 802127      8     DATA 'w_waypoint_info'
 802137      8     DATA 'w_waypoint_distance'
 80213f      8     DATA 'w_waypoint_direction'
 8021af      8     DATA 'w_vario_history'
 8021b7      8     DATA 'w_vario_bar'
 8021c7      8     DATA 'w_vario'
 8021a7      8     DATA 'w_time'
 802187      8     DATA 'w_thermal_time'
 80217f      8     DATA 'w_thermal_gain'
 802177      8     DATA 'w_thermal_ass'
 80216f      8     DATA 'w_temperature'
 802167      8     DATA 'w_odo_meter'
 80214f      8     DATA 'w_odo_home_time'
 802157      8     DATA 'w_odo_home_distance'
 80215f      8     DATA 'w_odo_home_direction'
 802147      8     DATA 'w_home_info'
 80218f      8     DATA 'w_hike_mode'
 802107      8     DATA 'w_gps_speed'
 8020ff      8     DATA 'w_gps_position'
 80210f      8     DATA 'w_gps_hdg_points'
 802117      8     DATA 'w_gps_hdg_arrow'
 80211f      8     DATA 'w_gps_hdg'
 8020f7      8     DATA 'w_glide_ratio'
 802197      8     DATA 'w_flight_time'
 8020ef      8     DATA 'w_dummy'
 80219f      8     DATA 'w_date'
 8020df      8     DATA 'w_ctrl_wlift'
 8020e7      8     DATA 'w_ctrl_audio'
 8020c7      8     DATA 'w_compass_points'
 8020d7      8     DATA 'w_compass_heading'
 8020cf      8     DATA 'w_compass_arrow'
 8020bf      8     DATA 'w_battery'
 8021bf      8     DATA 'w_avg_vario'
 802097      8     DATA 'w_alt5'
 80209f      8     DATA 'w_alt4'
 8020a7      8     DATA 'w_alt3'
 8020af      8     DATA 'w_alt2'
 8020b7      8     DATA 'w_alt1'
 80208f      8     DATA 'w_airspace_info'
 802087      8     DATA 'w_agl_height'
 80207f      8     DATA 'w_agl_ground_level'
 802077      8     DATA 'w_acc_total'
 02f2ae      8 TEXT     '__unordsf2'
 802041      8     DATA 'task_stop_array'
 802039      8     DATA 'task_loop_array'
 802031      8     DATA 'task_irqh_array'
 802049      8     DATA 'task_init_array'
 02f5fc      8 TEXT     '__mulohisi3'
 02bf94      8 TEXT     '_GLOBAL__sub_I_buttons_state'
 02f064      8 TEXT     '__gesf2'
 02eca2      8 TEXT     '__floatdisf'
 02eaee      8 TEXT     '__cmpsf2'
 02ff88      8 TEXT     'abort'
 002c98      7 TEXT     'TCU_MNG_LE_GEN_RESOLVABLE_BDADDR_REQ'
 002c91      7 TEXT     'TCU_MNG_LE_SET_RAND_ADDRESS_REQ'
 002cd9      7 TEXT     'TCU_LE_GATT_SER_INIT_REQ'
 002cd2      7 TEXT     'TCU_LE_GATT_CLI_INIT_REQ'
 002d1c      7 TEXT     'TCU_HCI_SET_MODE_REQ'
 002d06      7 TEXT     'TCU_SPP_SETUP_REQ'
 002cb5      7 TEXT     'manufacturer_name'
 01e364      6 TEXT     'gyro_init()'
 02e12c      6 TEXT     'ewdt_init()'
 006c8e      6 TEXT     'task_set(unsigned char)'
 02ad32      6 TEXT     'seq_stop()'
 010620      6 TEXT     'gui_set_calib_action_gyro(unsigned char)'
 01061a      6 TEXT     'gui_set_calib_action_mag(unsigned char)'
 010614      6 TEXT     'gui_set_calib_action_acc(unsigned char)'
 00f4fc      6 TEXT     'gui_set_altimeter_index(unsigned char)'
 017fa8      6 TEXT     'protocol_generic_init()'
 0214ca      6 TEXT     'waypoint_list_close()'
 016f06      6 TEXT     'gui_splash_set_mode(unsigned char)'
 017384      6 TEXT     'gui_update_fail_cb(unsigned char)'
 028c4e      6 TEXT     'bt_get_module_type()'
 0289a2      6 TEXT     'bt_device_active()'
 0174ae      6 TEXT     'gui_update_init()'
 012f18      6 TEXT     'gui_switch_task(unsigned char)'
 0277fc      6 TEXT     'gps_selftest()'
 01814e      6 TEXT     'protocol_rx(char)'
 006a5a      6 TEXT     'SleepLock::Active()'
 006a26      6 TEXT     'SleepLock::SleepLock()'
 006a26      6 TEXT     'SleepLock::SleepLock()'
 027d14      6 TEXT     'Lsm303d::EnableTemp()'
 00405c      6 TEXT     'I2c::Error()'
 005120      6 TEXT     'RingBufferSmall::Length()'
 02ce52      6 TEXT     'lcd_display::get_cos(unsigned int)'
 002ccc      6 TEXT     'tcu_mng_le_start_advertise_direct_address'
 001c87      6 TEXT     'airspace_alert_length'
 001c8d      6 TEXT     'airspace_alert_tone'
 001e68      6 TEXT     'beep_off_length'
 000cfb      6 TEXT     'w_vario_label'
 000ac7      6 TEXT     'w_dummy_label'
 001e6e      6 TEXT     'beep_off_tone'
 02f2a8      6 TEXT     'square'
 006824      6 TEXT     '_GLOBAL__sub_I_usb_lock'
 006a20      6 TEXT     '_GLOBAL__sub_I_update_state'
 006eb2      6 TEXT     '_GLOBAL__sub_I_task_init_array'
 02eea2      6 TEXT     '__fp_nan'
 02ff62      6 TEXT     'eeprom_write_word'
 02eaf6      6 TEXT     'cos'
 002a1f      5 TEXT     'gps_ready'
 002a6e      5 TEXT     'next_wpt'
 0008ed      5 TEXT     'layout_1'
 002a51      5 TEXT     'last_wpt'
 001e63      5 TEXT     'beep_off'
 001cae      5 TEXT     'alarm_h1'
 001e74      5 TEXT     'beep_on'
 001cbb      5 TEXT     'alarm2'
 001cc8      5 TEXT     'alarm1'
 001d50      5 TEXT     'audio_feedback'
 001c82      5 TEXT     'airspace_alert'
 001d0a      5 TEXT     'snd_menu_exit'
 001bbb      5 TEXT     'snd_but_short'
 001c93      5 TEXT     'airspace_warn'
 000cc6      5 TEXT     'w_time_label'
 000cc1      5 TEXT     'w_date_label'
 000dd8      5 TEXT     'snd_complete'
 001bb2      5 TEXT     'snd_but_long'
 000df5      5 TEXT     'snd_confirm'
 000fd9      5 TEXT     'snd_confirm'
 001da2      5 TEXT     'snd_page_7'
 001daf      5 TEXT     'snd_page_6'
 001dbc      5 TEXT     'snd_page_5'
 001dc9      5 TEXT     'snd_page_4'
 001dd6      5 TEXT     'snd_page_3'
 001de3      5 TEXT     'snd_page_2'
 001df0      5 TEXT     'snd_page_1'
 001dfd      5 TEXT     'snd_page_0'
 00577a      4 TEXT     'SDCardManager_CheckDataflashOperation()'
 010ebe      4 TEXT     'gui_set_gps_detail_init()'
 01a9a4      4 TEXT     'airspace_convert_alt_ft(unsigned int)'
 00f5c4      4 TEXT     'gui_set_altimeter_loop()'
 00f5c8      4 TEXT     'gui_set_altimeter_irqh(unsigned char, unsigned char*)'
 007fa0      4 TEXT     'widget_alt_menu_loop5()'
 007f9c      4 TEXT     'widget_alt_menu_loop4()'
 007f98      4 TEXT     'widget_alt_menu_loop3()'
 007f94      4 TEXT     'widget_alt_menu_loop2()'
 007f90      4 TEXT     'widget_alt_menu_loop1()'
 007a82      4 TEXT     'widget_alt_menu_irqh5(unsigned char, unsigned char*)'
 007a7e      4 TEXT     'widget_alt_menu_irqh4(unsigned char, unsigned char*)'
 007a7a      4 TEXT     'widget_alt_menu_irqh3(unsigned char, unsigned char*)'
 007a76      4 TEXT     'widget_alt_menu_irqh2(unsigned char, unsigned char*)'
 007a72      4 TEXT     'widget_alt_menu_irqh1(unsigned char, unsigned char*)'
 006a18      4 TEXT     'task_update_loop()'
 006a1c      4 TEXT     'task_update_irqh(unsigned char, unsigned char*)'
 005a46      4 TEXT     'MassStorage_Loop()'
 01405a      4 TEXT     'gui_alarm_stop()'
 02e132      4 TEXT     'ewdt_reset()'
 80239a      4     DATA 'navigation_step()::last_lat'
 0280d8      4 TEXT     'MS5611::Reset()'
 0286d2      4 TEXT     'SHT21::Reset()'
 02870a      4 TEXT     'SHT21::StartTemperature()'
 028706      4 TEXT     'SHT21::StartHumidity()'
 002d23      4 TEXT     'TCU_HCI_WRITE_BD_ADDR_REQ'
 002d64      4 TEXT     'TCU_HCI_RESET_REQ'
 001da7      4 TEXT     'snd_page_7_length'
 001db4      4 TEXT     'snd_page_6_length'
 001dc1      4 TEXT     'snd_page_5_length'
 001dce      4 TEXT     'snd_page_4_length'
 001ddb      4 TEXT     'snd_page_3_length'
 001de8      4 TEXT     'snd_page_2_length'
 001df5      4 TEXT     'snd_page_1_length'
 001e02      4 TEXT     'snd_page_0_length'
 001dab      4 TEXT     'snd_page_7_tone'
 001db8      4 TEXT     'snd_page_6_tone'
 001dc5      4 TEXT     'snd_page_5_tone'
 001dd2      4 TEXT     'snd_page_4_tone'
 001ddf      4 TEXT     'snd_page_3_tone'
 001dec      4 TEXT     'snd_page_2_tone'
 001df9      4 TEXT     'snd_page_1_tone'
 001e06      4 TEXT     'snd_page_0_tone'
 001cb3      4 TEXT     'alarm_h1_length'
 001e79      4 TEXT     'beep_on_length'
 001cc0      4 TEXT     'alarm2_length'
 001ccd      4 TEXT     'alarm1_length'
 001cb7      4 TEXT     'alarm_h1_tone'
 001e7d      4 TEXT     'beep_on_tone'
 001cc4      4 TEXT     'alarm2_tone'
 001cd1      4 TEXT     'alarm1_tone'
 802396      4     DATA 'twoKp'
 02f5f8      4 TEXT     '__mulshisi3'
 02f07a      4 TEXT     '__mulsf3'
 0006f6      4 TEXT     'LanguageString'
 80200c      4     DATA 'freq_sys'
 802000      4     DATA 'freq_per4'
 802004      4     DATA 'freq_per2'
 802008      4     DATA 'freq_cpu'
 02eafc      4 TEXT     '__divsf3'
 0005ba      4 TEXT     '__c.2334'
 0005be      4 TEXT     '__c.2332'
 02f740      4 TEXT     '__ashrdi3'
 8023c1      3     DATA 'buttons_state'
 012f02      2 TEXT     'gui_dummy()'
 012f04      2 TEXT     'gui_dummy(unsigned char, unsigned char*)'
 012f16      2 TEXT     'gui_dummy(unsigned char)'
 02d9b8      2 TEXT     'print_reset_reason()'
 00838a      2 TEXT     'widget_empty_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 0180d2      2 TEXT     'protocol_init()'
 026822      2 TEXT     'storage_step()'
 002cfc      2 TEXT     'TCU_MNG_CONNECTION_ACCEPT_REQ'
 001d55      2 TEXT     'audio_feedback_length'
 001d0f      2 TEXT     'snd_menu_exit_length'
 001bc0      2 TEXT     'snd_but_short_length'
 001c98      2 TEXT     'airspace_warn_length'
 001bb7      2 TEXT     'snd_but_long_length'
 001d57      2 TEXT     'audio_feedback_tone'
 001d11      2 TEXT     'snd_menu_exit_tone'
 000fde      2 TEXT     'snd_confirm_length'
 001bc2      2 TEXT     'snd_but_short_tone'
 001c9a      2 TEXT     'airspace_warn_tone'
 001bb9      2 TEXT     'snd_but_long_tone'
 002d1a      2 TEXT     'TCU_MNG_INIT_REQ'
 000fe0      2 TEXT     'snd_confirm_tone'
 02f5d8      2 TEXT     '__usmulhisi3'
 0064f8      2 TEXT     'USB_Event_Stub'
 02f6c0      2 TEXT     '__umulsidi3'
 8023d1      2     DATA 'uart_out'
 8023e1      2     DATA 'uart_in'
 802386      2     DATA 'protocol_tx'
 802362      2     DATA 'lcd_out'
 80239f      2     DATA 'gps_out'
 8023b0      2     DATA 'bt_pan1322_out'
 80239e      1     DATA 'Stat'
 80202f      1     DATA 'usb_int_state'
 802383      1     DATA 'page_mode'
