 01d90e   3668 TEXT     'imu_MadgwickQuaternionUpdate()'
 0041e0     24 TEXT     'Timer::Init(TC1_struct*, PORT_struct*, xlib_core_timer_prescaler_e)'
 0041c8     24 TEXT     'Timer::Init(TC0_struct*, PORT_struct*, xlib_core_timer_prescaler_e)'
 00412a     24 TEXT     'Spi::SendRaw(unsigned char)'
 02bbce     24 TEXT     'lcd_display::DrawImage(unsigned char const*, unsigned char, unsigned char)'
 004da0     24 TEXT     'RingBuffer::RingBuffer(unsigned int, unsigned char*)'
 004da0     24 TEXT     'RingBuffer::RingBuffer(unsigned int, unsigned char*)'
 02e910     24 TEXT     '__udivmodqi4'
 005d38     24 TEXT     'Endpoint_IsINReady'
 02ec28     24 TEXT     '__cmpdi2_s8'
 02ebfe     24 TEXT     '__adddi3_s8'
 022290     22 TEXT     'wind_step()'
 026cba     22 TEXT     'gps_step()'
 027fec     22 TEXT     'bt_send(char*)'
 021ba6     22 TEXT     'waypoint_task_optimise_reset()'
 00adf8     22 TEXT     'layout_get_number_of_widgets(unsigned char)'
 021e1e     22 TEXT     'waypoint_task_active()'
 012d6c     22 TEXT     'gui_reset_timeout()'
 013b68     22 TEXT     'gui_airspace_hide()'
 02a972     22 TEXT     'audio_vario_reset()'
 00ae86     22 TEXT     'widget_get_type(unsigned char, unsigned char)'
 02ce52     22 TEXT     'bat_en_high(unsigned char)'
 006892     22 TEXT     'SleepLock::Unlock()'
 0040e8     22 TEXT     'Spi::SetDataOrder(unsigned char)'
 001e1a     22 TEXT     'img_menu'
 02eea8     22 TEXT     'strnlen_P'
 02ef3a     22 TEXT     'strnlen'
 02ef04     22 TEXT     'strchr'
 02d64c     22 TEXT     'main'
 02f330     22 TEXT     'eeprom_read_block'
 00089c     21 TEXT     'layout_122'
 0008cf     21 TEXT     'layout_113'
 02cdf2     20 TEXT     'uart_stop()'
 02ad2a     20 TEXT     'battery_abort_calibration()'
 00dab4     20 TEXT     'gui_task_editor_refresh()'
 012c86     20 TEXT     'gui_set_widgets_irqh(unsigned char, unsigned char*)'
 025ca6     20 TEXT     'storage_dir_open(char*)'
 006a8e     20 TEXT     'task_timer_stop()'
 00665e     20 TEXT     'task_usb_irqh(unsigned char, unsigned char*)'
 02b3be     20 TEXT     'buttons_read(unsigned char)'
 02b3d2     20 TEXT     'button_hold(unsigned char)'
 003eca     20 TEXT     'I2c::Wait()'
 0222e4     20 TEXT     'mem_set(void*, int, unsigned int)'
 002b70     20 TEXT     'TCU_HCI_M2_GENERAL_READ_EEPROM_REQ'
 025ea4     20 TEXT     '__vector_67'
 02b0f8     20 TEXT     '__vector_66'
 00695c     20 TEXT     '__vector_34'
 029f8c     20 TEXT     '__vector_108'
 02ea54     20 TEXT     '__muluhisi3'
 020352     20 TEXT     '_GLOBAL__sub_I_kalmanFilter'
 004d66     20 TEXT     'EnableInterrupts'
 004d7a     20 TEXT     'CalcCRC'
 00daa2     18 TEXT     'gui_task_editor_delete_cb(unsigned char)'
 004aa0     18 TEXT     'UsartTxInteruptHandler(unsigned char)'
 004a8e     18 TEXT     'UsartRxInteruptHandler(unsigned char)'
 00679c     18 TEXT     'task_powerdown_stop()'
 0171d8     18 TEXT     'gui_update_done_cb(unsigned char)'
 0069ce     18 TEXT     'task_get_ms_tick()'
 012ef8     18 TEXT     'gui_hidemessage()'
 02b3e6     18 TEXT     'button_in_reset(unsigned char)'
 02cbb0     18 TEXT     'time_set_local(unsigned long)'
 02cc02     18 TEXT     'time_get_local()'
 013728     18 TEXT     'gui_force_loop()'
 025c94     18 TEXT     'storage_ready()'
 004044     18 TEXT     'RtcSetPeriod(unsigned int)'
 02b448     18 TEXT     'lcd_display::GotoXY_16(int, int)'
 802010     18     DATA 'SenseData'
 000bcb     18 TEXT     'w_waypoint_distance_label'
 000c4c     18 TEXT     'w_thermal_ass_label'
 02ec16     18 TEXT     '__subdi3'
 02ee96     18 TEXT     '__strlen_P'
 02ef1a     18 TEXT     'strcmp'
 004d8e     18 TEXT     'SP_ReadCalibrationByte'
 02ee76     18 TEXT     'memcpy_P'
 02eef2     18 TEXT     'memcpy'
 0006e4     18 TEXT     'ManufacturerString'
 02f364     18 TEXT     'eeprom_update_byte'
 00071a     18 TEXT     'DeviceDescriptor'
 02ebec     18 TEXT     '__adddi3'
 0007ba     17 TEXT     'layout_31'
 000822     17 TEXT     'layout_22'
 0008b1     17 TEXT     'layout_121'
 00ebb2     16 TEXT     'gui_set_airspaces_class_init()'
 0129e0     16 TEXT     'gui_set_vario_advanced_init()'
 00fede     16 TEXT     'gui_set_autoset_config_init()'
 02cc64     16 TEXT     'xlib_stdout_uart_out_call(char, __file*)'
 012d54     16 TEXT     'xlib_stdout_lcd_out_call(char, __file*)'
 025e94     16 TEXT     'xlib_stdout_gps_out_call(char, __file*)'
 011674     16 TEXT     'gui_set_menu_audio_stop()'
 011664     16 TEXT     'gui_set_menu_audio_init()'
 00f83e     16 TEXT     'gui_set_altimeters_init()'
 00deb2     16 TEXT     'gui_task_settings_init()'
 010452     16 TEXT     'gui_set_bluetooth_init()'
 010306     16 TEXT     'gui_set_autostart_init()'
 00f208     16 TEXT     'gui_set_alt_alarm_init()'
 00eb04     16 TEXT     'gui_set_airspaces_init()'
 00c5d8     16 TEXT     'gui_compass_calib_init()'
 00e782     16 TEXT     'gui_set_advanced_init()'
 01094a     16 TEXT     'gui_set_display_init()'
 00fc7a     16 TEXT     'gui_set_autoset_init()'
 011a3c     16 TEXT     'gui_set_system_init()'
 0115ae     16 TEXT     'gui_set_logger_init()'
 00529c     16 TEXT     'SDCardManager_Init()'
 0121da     16 TEXT     'gui_set_vario_init()'
 010540     16 TEXT     'gui_set_calib_init()'
 00fbb6     16 TEXT     'gui_set_audio_init()'
 012d40     16 TEXT     'gui_settings_init()'
 011df4     16 TEXT     'gui_set_time_init()'
 00e53c     16 TEXT     'gui_layouts_init()'
 003d08     16 TEXT     'GpioSetInterrupt(PORT_struct*, unsigned char, xlib_core_gpio_intmask_e, xlib_core_gpio_int_e)'
 02d58c     16 TEXT     'nmea_checksum(char*)'
 01175c     16 TEXT     'gui_home_init()'
 003c66     16 TEXT     'GpioSetPull(PORT_struct*, unsigned char, xlib_core_gpio_pull_e)'
 0040fe     16 TEXT     'Spi::SetSlave(PORT_struct*, unsigned char)'
 00411a     16 TEXT     'Spi::SetDivider(xlib_core_spi_prescaler_e)'
 004f04     16 TEXT     'RingBufferSmall::RingBufferSmall(unsigned char, unsigned char*)'
 004f04     16 TEXT     'RingBufferSmall::RingBufferSmall(unsigned char, unsigned char*)'
 02b468     16 TEXT     'lcd_display::noclip()'
 004e7e     16 TEXT     'RingBuffer::Clear()'
 002b05     16 TEXT     'spp_over_ble_service_uuid'
 000a70     16 TEXT     'w_compass_heading_label'
 000d58     16 TEXT     'w_wind_points_label'
 000aaa     16 TEXT     'w_ctrl_wlift_label'
 001e0a     16 TEXT     'img_layout'
 02ea0c     16 TEXT     '__tablejump2__'
 802373     16     DATA 'snd_pages'
 02e9fc     16 TEXT     '__negsi2'
 02eb06     16 TEXT     '__muldi3_6'
 8023f1     16     DATA 'flip_table'
 00562c     16 TEXT     'EVENT_USB_Device_ConfigurationChanged'
 00397e     16 TEXT     '__do_clear_bss'
 002b91     15 TEXT     'TCU_HCI_M2_BTL_SET_I2C_ENABLE_REQ'
 000bdd     15 TEXT     'w_waypoint_direction_label'
 000b0d     15 TEXT     'w_gps_hdg_points_label'
 000a53     15 TEXT     'w_compass_points_label'
 000d7e     15 TEXT     'w_wind_dir_label'
 029f7e     14 TEXT     'audio_off()'
 0280b0     14 TEXT     'bt_ready()'
 027e04     14 TEXT     'bt_stop()'
 0298e2     14 TEXT     'xlib_stdout_bt_pan1322_out_call(char, __file*)'
 00ba06     14 TEXT     'gui_acc_snd_complete()'
 00b9f8     14 TEXT     'gui_acc_snd_confirm()'
 006858     14 TEXT     'task_update_stop()'
 004150     14 TEXT     'SystemPowerSave()'
 004142     14 TEXT     'SystemPowerIdle()'
 02ce2a     14 TEXT     'print_fw_info()'
 0190ec     14 TEXT     'logger_error()'
 003a9a     14 TEXT     'AdcPipeReady(ADC_CH_struct*)'
 026db4     14 TEXT     'L3gd20::Init(I2c*, l3gd20_settings)'
 004668     14 TEXT     'Usart::isRxBufferEmpty()'
 02b45a     14 TEXT     'lcd_display::clip(unsigned char, unsigned char)'
 000c00     14 TEXT     'w_odo_home_distance_label'
 000bbd     14 TEXT     'w_waypoint_time_label'
 000baf     14 TEXT     'w_waypoint_info_label'
 000cd9     14 TEXT     'w_vario_history_label'
 000b1c     14 TEXT     'w_gps_hdg_arrow_label'
 000a62     14 TEXT     'w_compass_arrow_label'
 000998     14 TEXT     'w_airspace_info_label'
 8023b2     14     DATA 'bt_pan1322_out_wrap'
 0008fc     14 TEXT     'w_acc_total_label'
 802388     14     DATA 'protocol_tx_wrap'
 8023d3     14     DATA 'uart_out_wrap'
 8023e3     14     DATA 'uart_in_wrap'
 802364     14     DATA 'lcd_out_wrap'
 8023a1     14     DATA 'gps_out_wrap'
 00603c     14 TEXT     'USB_INT_DisableAllInterrupts'
 02ee88     14 TEXT     'strcpy_P'
 02ef2c     14 TEXT     'strcpy'
 02e4dc     14 TEXT     'inverse'
 02e4c6     14 TEXT     '__fp_zero'
 02e3b2     14 TEXT     '__fp_pscB'
 02e3a4     14 TEXT     '__fp_pscA'
 02e788     14 TEXT     '__fp_norm2'
 02553c     14 TEXT     'disk_status'
 02ea1c     14 TEXT     '__bswapsi2'
 000840     13 TEXT     'layout_21'
 0008c2     13 TEXT     'layout_12'
 002b56     13 TEXT     'TCU_MNG_STANDARD_HCI_SET_REQ_Write_Class_of_Device'
 002b84     13 TEXT     'TCU_HCI_M2_BTL_EEPROM_WRITE_ENABLE_REQ'
 002ba0     13 TEXT     'TCU_HCI_GET_FIRMWARE_VERSION_REQ'
 000937     13 TEXT     'w_agl_ground_level_label'
 000c6b     13 TEXT     'w_thermal_time_label'
 000c5e     13 TEXT     'w_thermal_gain_label'
 000af3     13 TEXT     'w_gps_position_label'
 000aba     13 TEXT     'w_ctrl_audio_label'
 000b00     13 TEXT     'w_gps_speed_label'
 000833     13 TEXT     'layout_21a'
 802022     13     DATA 'CommandStatus'
 018734     12 TEXT     'igc_stop()'
 02cc58     12 TEXT     'xlib_stdin_uart_in_call(__file*)'
 00a5aa     12 TEXT     'widget_sorted_get_index(unsigned char)'
 01bb16     12 TEXT     'cfg_bat_write_defaults()'
 025cc2     12 TEXT     'storage_dir_rewind()'
 014dea     12 TEXT     'gui_list_set_index(unsigned char, unsigned char)'
 006710     12 TEXT     'task_active_loop()'
 010d00     12 TEXT     'gui_set_gps_stop()'
 02d5a6     12 TEXT     'ee_update_block(void*, void*, unsigned int)'
 003c1a     12 TEXT     'DacSetReference(xlib_core_dac_reference_e)'
 027cca     12 TEXT     'bt_pan1322_init()'
 02d5b2     12 TEXT     'ee_read_block(void*, void*, unsigned int)'
 02b3f8     12 TEXT     'buttons_reset()'
 02d350     12 TEXT     'hex_to_num(unsigned char)'
 004676     12 TEXT     'Usart::FlushTxBuffer()'
 00410e     12 TEXT     'Spi::UnsetSlave()'
 003d18     12 TEXT     'I2c::I2c()'
 003d18     12 TEXT     'I2c::I2c()'
 01eaca     12 TEXT     'KalmanFilter::Reset(float)'
 02b672     12 TEXT     'lcd_display::SetInvert(unsigned char)'
 000c27     12 TEXT     'w_temperature_label'
 000ad3     12 TEXT     'w_glide_ratio_label'
 000cb5     12 TEXT     'w_flight_time_label'
 000ddd     12 TEXT     'snd_complete_length'
 000de9     12 TEXT     'snd_complete_tone'
 00286d     12 TEXT     'gps_ready_length'
 000b2a     12 TEXT     'w_gps_hdg_label'
 0028bc     12 TEXT     'next_wpt_length'
 00289f     12 TEXT     'last_wpt_length'
 002879     12 TEXT     'gps_ready_tone'
 0028c8     12 TEXT     'next_wpt_tone'
 0028ab     12 TEXT     'last_wpt_tone'
 0224d0     12 TEXT     'sync_window(FATFS*)'
 00604a     12 TEXT     'USB_INT_ClearAllInterrupts'
 02e688     12 TEXT     'sin'
 8023c5     12     DATA 'monthDays'
 02e2b4     12 TEXT     '__fp_inf'
 000c0e     11 TEXT     'w_odo_home_direction_label'
 000d73     11 TEXT     'w_wind_dir_arrow_label'
 000d68     11 TEXT     'w_wind_speed_label'
 000944     11 TEXT     'w_agl_height_label'
 002af3     11 TEXT     'device_name_spp'
 002ae8     11 TEXT     'device_name_ble'
 000a01     11 TEXT     'w_alt5_label'
 000a0c     11 TEXT     'w_alt4_label'
 000a17     11 TEXT     'w_alt3_label'
 000a22     11 TEXT     'w_alt2_label'
 000a2d     11 TEXT     'w_alt1_label'
 004d32     10 TEXT     'wdt_init(wdt_timeout)'
 0161a4     10 TEXT     'gui_pages_set_date_manual_cb(float)'
 0148d0     10 TEXT     'gui_filemanager_set_tasks(unsigned char, unsigned char)'
 011a4c     10 TEXT     'gui_set_time_time_cb(float)'
 00cb7a     10 TEXT     'gui_gyro_calib_init()'
 02c6bc     10 TEXT     'led_notify_disable()'
 02c6b2     10 TEXT     'led_notify_enable()'
 00764c     10 TEXT     'widget_alt_draw5(unsigned char, unsigned char, unsigned char, unsigned char)'
 007642     10 TEXT     'widget_alt_draw4(unsigned char, unsigned char, unsigned char, unsigned char)'
 007638     10 TEXT     'widget_alt_draw3(unsigned char, unsigned char, unsigned char, unsigned char)'
 00762e     10 TEXT     'widget_alt_draw2(unsigned char, unsigned char, unsigned char, unsigned char)'
 007624     10 TEXT     'widget_alt_draw1(unsigned char, unsigned char, unsigned char, unsigned char)'
 027cd6     10 TEXT     'bt_pan1026_init()'
 01f17c     10 TEXT     'mag_calc_init()'
 02692a     10 TEXT     'gps_parse_sys()'
 02ae94     10 TEXT     'battery_stop()'
 003a88     10 TEXT     'AdcPipeStart(ADC_CH_struct*)'
 004056     10 TEXT     'RtcGetValue()'
 0298ce     10 TEXT     'pan1322::TxResume()'
 0298d8     10 TEXT     'pan1322::StreamWrite(unsigned char)'
 0280f6     10 TEXT     'pan1026::TxResume()'
 028100     10 TEXT     'pan1026::StreamWrite(unsigned char)'
 003db8     10 TEXT     'I2c::Write(unsigned char)'
 003dc2     10 TEXT     'I2c::Read()'
 004f74     10 TEXT     'RingBufferSmall::Clear()'
 02b67e     10 TEXT     'lcd_display::SetFlip(bool)'
 02b590     10 TEXT     'lcd_display::GetTextHeight()'
 02b59a     10 TEXT     'lcd_display::GetAHeight()'
 002b31     10 TEXT     'TCU_MNG_SSP_SET_REQ_HCI_User_Confirmation_Request_Reply'
 002b3b     10 TEXT     'TCU_MNG_SSP_SET_REQ_HCI_IO_Capability_Request_Reply'
 000bf6     10 TEXT     'w_odo_home_time_label'
 000ce7     10 TEXT     'w_vario_bar_label'
 000bec     10 TEXT     'w_home_info_label'
 000cab     10 TEXT     'w_hike_mode_label'
 000cf1     10 TEXT     'w_avg_vario_label'
 02ea4a     10 TEXT     '__usmulhisi3_tail'
 02dda2     10 TEXT     '__subsf3'
 02e0b0     10 TEXT     '__fixsfsi'
 0008e4      9 TEXT     'layout_11'
 000c19      9 TEXT     'w_odo_meter_label'
 017ee6      8 TEXT     'xlib_stdout_protocol_tx_call(char, __file*)'
 012de8      8 TEXT     'gui_change_disp_cfg()'
 025cba      8 TEXT     'storage_dir_close()'
 014250      8 TEXT     'gui_alarm_irqh(unsigned char, unsigned char*)'
 01bd2c      8 TEXT     'fc_landing_cb(unsigned char)'
 003a92      8 TEXT     'AdcPipeValue(ADC_CH_struct*)'
 02d584      8 TEXT     'find_comma(char*)'
 027584      8 TEXT     'MS5611::StartTemperature()'
 02757c      8 TEXT     'MS5611::StartPressure()'
 02c0de      8 TEXT     'lcd_display::GetActiveLayerPtr()'
 004e76      8 TEXT     'RingBuffer::Length()'
 001bc4      8 TEXT     'img_alarm'
 002b47      8 TEXT     'TCU_MNG_SET_SCAN_REQ'
 002b29      8 TEXT     'TCU_MNG_LE_INIT_REQ'
 000dfa      8 TEXT     'snd_confirm_length'
 000e02      8 TEXT     'snd_confirm_tone'
 001bcc      8 TEXT     'img_logger_error'
 000a46      8 TEXT     'w_battery_label'
 001bdc      8 TEXT     'img_bluetooth'
 001bd4      8 TEXT     'img_logger'
 8021d7      8     DATA 'w_wind_speed'
 8021cf      8     DATA 'w_wind_points'
 8021df      8     DATA 'w_wind_dir_arrow'
 8021e7      8     DATA 'w_wind_dir'
 80212f      8     DATA 'w_waypoint_time'
 802127      8     DATA 'w_waypoint_info'
 802137      8     DATA 'w_waypoint_distance'
 80213f      8     DATA 'w_waypoint_direction'
 8021af      8     DATA 'w_vario_history'
 8021b7      8     DATA 'w_vario_bar'
 8021c7      8     DATA 'w_vario'
 8021a7      8     DATA 'w_time'
 802187      8     DATA 'w_thermal_time'
 80217f      8     DATA 'w_thermal_gain'
 802177      8     DATA 'w_thermal_ass'
 80216f      8     DATA 'w_temperature'
 802167      8     DATA 'w_odo_meter'
 80214f      8     DATA 'w_odo_home_time'
 802157      8     DATA 'w_odo_home_distance'
 80215f      8     DATA 'w_odo_home_direction'
 802147      8     DATA 'w_home_info'
 80218f      8     DATA 'w_hike_mode'
 802107      8     DATA 'w_gps_speed'
 8020ff      8     DATA 'w_gps_position'
 80210f      8     DATA 'w_gps_hdg_points'
 802117      8     DATA 'w_gps_hdg_arrow'
 80211f      8     DATA 'w_gps_hdg'
 8020f7      8     DATA 'w_glide_ratio'
 802197      8     DATA 'w_flight_time'
 8020ef      8     DATA 'w_dummy'
 80219f      8     DATA 'w_date'
 8020df      8     DATA 'w_ctrl_wlift'
 8020e7      8     DATA 'w_ctrl_audio'
 8020c7      8     DATA 'w_compass_points'
 8020d7      8     DATA 'w_compass_heading'
 8020cf      8     DATA 'w_compass_arrow'
 8020bf      8     DATA 'w_battery'
 8021bf      8     DATA 'w_avg_vario'
 802097      8     DATA 'w_alt5'
 80209f      8     DATA 'w_alt4'
 8020a7      8     DATA 'w_alt3'
 8020af      8     DATA 'w_alt2'
 8020b7      8     DATA 'w_alt1'
 80208f      8     DATA 'w_airspace_info'
 802087      8     DATA 'w_agl_height'
 80207f      8     DATA 'w_agl_ground_level'
 802077      8     DATA 'w_acc_total'
 02e71e      8 TEXT     '__unordsf2'
 802041      8     DATA 'task_stop_array'
 802039      8     DATA 'task_loop_array'
 802031      8     DATA 'task_irqh_array'
 802049      8     DATA 'task_init_array'
 02ea6c      8 TEXT     '__mulohisi3'
 02b404      8 TEXT     '_GLOBAL__sub_I_buttons_state'
 02e4d4      8 TEXT     '__gesf2'
 02e112      8 TEXT     '__floatdisf'
 02df5e      8 TEXT     '__cmpsf2'
 02f3e2      8 TEXT     'abort'
 002ae1      7 TEXT     'TCU_MNG_LE_GEN_RESOLVABLE_BDADDR_REQ'
 002ada      7 TEXT     'TCU_MNG_LE_SET_RAND_ADDRESS_REQ'
 002b22      7 TEXT     'TCU_LE_GATT_SER_INIT_REQ'
 002b1b      7 TEXT     'TCU_LE_GATT_CLI_INIT_REQ'
 002b65      7 TEXT     'TCU_HCI_SET_MODE_REQ'
 002b4f      7 TEXT     'TCU_SPP_SETUP_REQ'
 002afe      7 TEXT     'manufacturer_name'
 01d7d4      6 TEXT     'gyro_init()'
 02d59c      6 TEXT     'ewdt_init()'
 006adc      6 TEXT     'task_set(unsigned char)'
 02a1a2      6 TEXT     'seq_stop()'
 01046e      6 TEXT     'gui_set_calib_action_gyro(unsigned char)'
 010468      6 TEXT     'gui_set_calib_action_mag(unsigned char)'
 010462      6 TEXT     'gui_set_calib_action_acc(unsigned char)'
 00f34a      6 TEXT     'gui_set_altimeter_index(unsigned char)'
 017df6      6 TEXT     'protocol_generic_init()'
 02093a      6 TEXT     'waypoint_list_close()'
 016d54      6 TEXT     'gui_splash_set_mode(unsigned char)'
 0171d2      6 TEXT     'gui_update_fail_cb(unsigned char)'
 0280be      6 TEXT     'bt_get_module_type()'
 027e12      6 TEXT     'bt_device_active()'
 0172fc      6 TEXT     'gui_update_init()'
 012d66      6 TEXT     'gui_switch_task(unsigned char)'
 026c6c      6 TEXT     'gps_selftest()'
 017f9c      6 TEXT     'protocol_rx(char)'
 0068a8      6 TEXT     'SleepLock::Active()'
 006874      6 TEXT     'SleepLock::SleepLock()'
 006874      6 TEXT     'SleepLock::SleepLock()'
 027184      6 TEXT     'Lsm303d::EnableTemp()'
 003eaa      6 TEXT     'I2c::Error()'
 004f6e      6 TEXT     'RingBufferSmall::Length()'
 02c2c2      6 TEXT     'lcd_display::get_cos(unsigned int)'
 002b15      6 TEXT     'tcu_mng_le_start_advertise_direct_address'
 001c87      6 TEXT     'airspace_alert_length'
 001c8d      6 TEXT     'airspace_alert_tone'
 001e68      6 TEXT     'beep_off_length'
 000cfb      6 TEXT     'w_vario_label'
 000ac7      6 TEXT     'w_dummy_label'
 001e6e      6 TEXT     'beep_off_tone'
 02e718      6 TEXT     'square'
 006672      6 TEXT     '_GLOBAL__sub_I_usb_lock'
 00686e      6 TEXT     '_GLOBAL__sub_I_update_state'
 006d00      6 TEXT     '_GLOBAL__sub_I_task_init_array'
 02e312      6 TEXT     '__fp_nan'
 02f3bc      6 TEXT     'eeprom_write_word'
 02df66      6 TEXT     'cos'
 002868      5 TEXT     'gps_ready'
 0028b7      5 TEXT     'next_wpt'
 0008ed      5 TEXT     'layout_1'
 00289a      5 TEXT     'last_wpt'
 001e63      5 TEXT     'beep_off'
 001cae      5 TEXT     'alarm_h1'
 001e74      5 TEXT     'beep_on'
 001cbb      5 TEXT     'alarm2'
 001cc8      5 TEXT     'alarm1'
 001d50      5 TEXT     'audio_feedback'
 001c82      5 TEXT     'airspace_alert'
 001d0a      5 TEXT     'snd_menu_exit'
 001bbb      5 TEXT     'snd_but_short'
 001c93      5 TEXT     'airspace_warn'
 000cc6      5 TEXT     'w_time_label'
 000cc1      5 TEXT     'w_date_label'
 000dd8      5 TEXT     'snd_complete'
 001bb2      5 TEXT     'snd_but_long'
 000df5      5 TEXT     'snd_confirm'
 000fd9      5 TEXT     'snd_confirm'
 001da2      5 TEXT     'snd_page_7'
 001daf      5 TEXT     'snd_page_6'
 001dbc      5 TEXT     'snd_page_5'
 001dc9      5 TEXT     'snd_page_4'
 001dd6      5 TEXT     'snd_page_3'
 001de3      5 TEXT     'snd_page_2'
 001df0      5 TEXT     'snd_page_1'
 001dfd      5 TEXT     'snd_page_0'
 0055c8      4 TEXT     'SDCardManager_CheckDataflashOperation()'
 010d0c      4 TEXT     'gui_set_gps_detail_init()'
 019e14      4 TEXT     'airspace_convert_alt_ft(unsigned int)'
 00f412      4 TEXT     'gui_set_altimeter_loop()'
 00f416      4 TEXT     'gui_set_altimeter_irqh(unsigned char, unsigned char*)'
 007dee      4 TEXT     'widget_alt_menu_loop5()'
 007dea      4 TEXT     'widget_alt_menu_loop4()'
 007de6      4 TEXT     'widget_alt_menu_loop3()'
 007de2      4 TEXT     'widget_alt_menu_loop2()'
 007dde      4 TEXT     'widget_alt_menu_loop1()'
 0078d0      4 TEXT     'widget_alt_menu_irqh5(unsigned char, unsigned char*)'
 0078cc      4 TEXT     'widget_alt_menu_irqh4(unsigned char, unsigned char*)'
 0078c8      4 TEXT     'widget_alt_menu_irqh3(unsigned char, unsigned char*)'
 0078c4      4 TEXT     'widget_alt_menu_irqh2(unsigned char, unsigned char*)'
 0078c0      4 TEXT     'widget_alt_menu_irqh1(unsigned char, unsigned char*)'
 006866      4 TEXT     'task_update_loop()'
 00686a      4 TEXT     'task_update_irqh(unsigned char, unsigned char*)'
 005894      4 TEXT     'MassStorage_Loop()'
 013ea8      4 TEXT     'gui_alarm_stop()'
 02d5a2      4 TEXT     'ewdt_reset()'
 80239a      4     DATA 'navigation_step()::last_lat'
 027548      4 TEXT     'MS5611::Reset()'
 027b42      4 TEXT     'SHT21::Reset()'
 027b7a      4 TEXT     'SHT21::StartTemperature()'
 027b76      4 TEXT     'SHT21::StartHumidity()'
 002b6c      4 TEXT     'TCU_HCI_WRITE_BD_ADDR_REQ'
 002bad      4 TEXT     'TCU_HCI_RESET_REQ'
 001da7      4 TEXT     'snd_page_7_length'
 001db4      4 TEXT     'snd_page_6_length'
 001dc1      4 TEXT     'snd_page_5_length'
 001dce      4 TEXT     'snd_page_4_length'
 001ddb      4 TEXT     'snd_page_3_length'
 001de8      4 TEXT     'snd_page_2_length'
 001df5      4 TEXT     'snd_page_1_length'
 001e02      4 TEXT     'snd_page_0_length'
 001dab      4 TEXT     'snd_page_7_tone'
 001db8      4 TEXT     'snd_page_6_tone'
 001dc5      4 TEXT     'snd_page_5_tone'
 001dd2      4 TEXT     'snd_page_4_tone'
 001ddf      4 TEXT     'snd_page_3_tone'
 001dec      4 TEXT     'snd_page_2_tone'
 001df9      4 TEXT     'snd_page_1_tone'
 001e06      4 TEXT     'snd_page_0_tone'
 001cb3      4 TEXT     'alarm_h1_length'
 001e79      4 TEXT     'beep_on_length'
 001cc0      4 TEXT     'alarm2_length'
 001ccd      4 TEXT     'alarm1_length'
 001cb7      4 TEXT     'alarm_h1_tone'
 001e7d      4 TEXT     'beep_on_tone'
 001cc4      4 TEXT     'alarm2_tone'
 001cd1      4 TEXT     'alarm1_tone'
 802396      4     DATA 'twoKp'
 02ea68      4 TEXT     '__mulshisi3'
 02e4ea      4 TEXT     '__mulsf3'
 0006f6      4 TEXT     'LanguageString'
 80200c      4     DATA 'freq_sys'
 802000      4     DATA 'freq_per4'
 802004      4     DATA 'freq_per2'
 802008      4     DATA 'freq_cpu'
 02df6c      4 TEXT     '__divsf3'
 0005ba      4 TEXT     '__c.2334'
 0005be      4 TEXT     '__c.2332'
 02ebb0      4 TEXT     '__ashrdi3'
 8023c1      3     DATA 'buttons_state'
 012d50      2 TEXT     'gui_dummy()'
 012d52      2 TEXT     'gui_dummy(unsigned char, unsigned char*)'
 012d64      2 TEXT     'gui_dummy(unsigned char)'
 02ce28      2 TEXT     'print_reset_reason()'
 0081d8      2 TEXT     'widget_empty_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 017f20      2 TEXT     'protocol_init()'
 025c92      2 TEXT     'storage_step()'
 002b45      2 TEXT     'TCU_MNG_CONNECTION_ACCEPT_REQ'
 001d55      2 TEXT     'audio_feedback_length'
 001d0f      2 TEXT     'snd_menu_exit_length'
 001bc0      2 TEXT     'snd_but_short_length'
 001c98      2 TEXT     'airspace_warn_length'
 001bb7      2 TEXT     'snd_but_long_length'
 001d57      2 TEXT     'audio_feedback_tone'
 001d11      2 TEXT     'snd_menu_exit_tone'
 000fde      2 TEXT     'snd_confirm_length'
 001bc2      2 TEXT     'snd_but_short_tone'
 001c9a      2 TEXT     'airspace_warn_tone'
 001bb9      2 TEXT     'snd_but_long_tone'
 002b63      2 TEXT     'TCU_MNG_INIT_REQ'
 000fe0      2 TEXT     'snd_confirm_tone'
 02ea48      2 TEXT     '__usmulhisi3'
 006346      2 TEXT     'USB_Event_Stub'
 02eb30      2 TEXT     '__umulsidi3'
 8023d1      2     DATA 'uart_out'
 8023e1      2     DATA 'uart_in'
 802386      2     DATA 'protocol_tx'
 802362      2     DATA 'lcd_out'
 80239f      2     DATA 'gps_out'
 8023b0      2     DATA 'bt_pan1322_out'
 80239e      1     DATA 'Stat'
 80202f      1     DATA 'usb_int_state'
 802383      1     DATA 'page_mode'
 802384      1     DATA 'old_page'
 8023c4      1     DATA 'led_task_state'
 802401      1     DATA 'hw_revision'
 8021ef      1     DATA 'gui_task_editor_mode'
 802361      1     DATA 'gui_task'
 802360      1     DATA 'gui_new_task'
 802372      1     DATA 'filemanager_return'
 8023af      1     DATA 'bt_full_warning'
 8023c0      1     DATA 'battery_meas_state'
 802030      1     DATA 'actual_task'
 802385      1     DATA 'active_page'
